mar_status,empl_status,gender,age
married,Working as paid employee,M,64
married,Working as paid employee,F,58
married,Working as paid employee,M,47
married,Working as paid employee,F,47
married,Not working - other,M,49
married,Working as paid employee,F,45
married,Working as paid employee,M,30
married,Working as paid employee,F,27
married,Working as paid employee,M,49
married,Not working - other,F,50
married,Not working - looking for work,M,35
married,Working as paid employee,F,34
married,Working as paid employee,M,59
married,Working as paid employee,F,59
married,Working as paid employee,M,42
married,Working as paid employee,F,46
married,Not working - other,M,37
married,Not working - disabled,F,36
married,Working as paid employee,M,41
married,Not working - other,F,37
married,Not working - looking for work,M,41
married,Working as paid employee,F,37
married,Working as paid employee,M,62
married,Working as paid employee,F,61
married,Working as paid employee,M,24
married,Not working - other,F,24
married,Working as paid employee,M,35
married,Not working - looking for work,F,29
unmarried,Not working - looking for work,M,54
unmarried,Working as paid employee,F,53
married,Working as paid employee,M,48
married,Working as paid employee,F,53
married,Working as paid employee,M,40
married,Working as paid employee,F,32
married,Not working - disabled,M,62
married,Not working - looking for work,F,56
married,Not working - retired,M,60
married,Not working - retired,F,60
married,Working as paid employee,M,42
married,Working as paid employee,F,45
married,Working as paid employee,M,32
married,"Working, self-employed",F,31
married,Working as paid employee,M,42
married,Working as paid employee,F,40
married,Working as paid employee,M,43
married,Working as paid employee,F,41
married,Working as paid employee,M,59
married,Working as paid employee,F,57
unmarried,Not working - looking for work,M,33
unmarried,Not working - disabled,F,31
married,Working as paid employee,M,25
married,Not working - other,F,21
unmarried,Working as paid employee,M,30
unmarried,Working as paid employee,F,29
married,Working as paid employee,M,55
married,Working as paid employee,F,53
married,Working as paid employee,M,31
married,Not working - other,F,32
married,Working as paid employee,M,32
married,Working as paid employee,F,30
married,Working as paid employee,M,41
married,Working as paid employee,F,40
married,Working as paid employee,M,35
married,Working as paid employee,F,33
married,Working as paid employee,M,62
married,Not working - other,F,52
married,Working as paid employee,M,60
married,Working as paid employee,F,58
married,Working as paid employee,M,61
married,Not working - retired,F,63
married,Working as paid employee,M,36
married,Not working - other,F,31
unmarried,"Working, self-employed",M,51
